"name","value","x","y","width","height","index","vy","vx"
"长沙",907,628.7121857211346,177.13826928941535,164.9545391918634,164.9545391918634,0,0.03261800774248928,-0.007004483797411295
"株洲",501,768.9856902824287,321.66531729154804,122.5969004502153,122.5969004502153,1,-0.019017956853236807,0.0005102078894906242
"湘潭",907,618.3115414517687,351.743667441916,164.9545391918634,164.9545391918634,2,-0.031220051919132418,-0.009499478259563298
"衡阳",1408,432.28198439293834,411.10810765630254,205.52372125864207,205.52372125864207,3,-0.032467225865965246,0.043750049047465864
"岳阳",908,612.4831143035615,2.956969586893164,165.04544828622207,165.04544828622207,4,-0.014238178389115043,0.0032579895830596025
"常德",1408,421.29148295693074,42.46554302465647,205.52372125864207,205.52372125864207,5,0.05918521279187442,0.004832332640387166
"益阳",500,477.9985206257997,207.20819496702384,122.47448713915891,122.47448713915891,6,-0.03975913536854938,-0.007581164211077581
"郴州",500,597.0262937639845,503.98430549262207,122.47448713915891,122.47448713915891,7,-0.005399163680424863,-0.033821396134362774
"永州",500,404.324636591253,582.7930183965159,122.47448713915891,122.47448713915891,8,0.005047935227459645,-0.0017386096551375752
"怀化",313,231.8953790662787,250.91026927263925,96.90201236300514,96.90201236300514,9,-0.10043590928746773,-0.01580765941544417
"邵阳",1408,216.8277532484716,411.10555044376594,205.52372125864207,205.52372125864207,10,-0.012032689255350155,0.0007984799326408318
"张家界",1000,228.88231513833566,-9.621957727578978,173.20508075688772,173.20508075688772,11,0.005528965746725177,0.0006650426709758003
"娄底",500,351.50264932633655,246.35510223852833,122.47448713915891,122.47448713915891,12,0.03804726020448189,-0.00284113059746269
"湘西",500,180.7101525088103,140.37882664514936,122.47448713915891,122.47448713915891,13,0.1031374617079625,0.006795254868997556
